City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Jutai,BR,72.18,overcast clouds,-5.1833,-68.9,
220,Praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
221,Saint-Georges,GD,77.0,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
222,Saint-Philippe,RE,84.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
225,Pitimbu,BR,73.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
229,Kathmandu,NP,82.4,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
232,Chicama,PE,70.0,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
235,Puerto Madero,MX,80.22,clear sky,14.7208,-92.4215,Hotel La Central
238,Presidencia Roque Saenz Pena,AR,77.0,light rain,-26.7852,-60.4388,Hotel Gualok
242,Talara,PE,70.63,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
244,Saint-Joseph,RE,84.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
245,Angoche,MZ,80.19,light rain,-16.2325,39.9086,Guest House HESADA
247,Sai Buri,TH,87.8,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
248,Taoudenni,ML,76.41,clear sky,22.6783,-3.9836,
249,Bontang,ID,85.8,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
254,Tibiri,NE,78.78,overcast clouds,13.5627,7.0485,
257,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
263,The Valley,AI,75.99,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
264,Utinga,BR,75.2,light rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
266,Seoul,KR,71.6,clear sky,37.5683,126.9778,Lotte Hotel Seoul
267,Beloha,MG,79.23,few clouds,-25.1667,45.05,
268,Gigmoto,PH,83.68,broken clouds,13.7796,124.39,Cj's Travellers Inn
270,Kapit,MY,89.15,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
275,Belize,BZ,82.0,broken clouds,17.25,-88.75,Villa San Juan
277,Muisne,EC,77.0,broken clouds,0.6,-80.0333,Quinta Samay
281,Cockburn Town,TC,74.98,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
286,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
287,Iralaya,HN,79.66,overcast clouds,15.0,-83.2333,Iglesia morava renovada
289,Perth,AU,70.0,broken clouds,-31.9333,115.8333,Beatty Lodge
291,Nova Olinda Do Norte,BR,73.17,heavy intensity rain,-3.8881,-59.0942,Casa Juazeiro
292,Roura,GF,73.99,fog,4.7263,-52.3274,Amazonie Découverte SARL
297,Caravelas,BR,72.9,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
298,Calabozo,VE,78.8,overcast clouds,8.9242,-67.4293,Hotel Giardini
299,Saint-Louis,SN,77.11,scattered clouds,16.3333,-15.0,
300,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
