City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Otukpo,NG,7.1913,8.1329,77.85,77,100,6.78,overcast clouds
80,Chokurdakh,RU,70.6333,147.9167,-6.84,94,14,1.14,few clouds
81,Kamenka,RU,51.3223,42.7678,43.0,83,100,1.99,light rain
82,Staryy Nadym,RU,65.6118,72.6842,33.49,98,67,15.99,broken clouds
83,Bambanglipuro,ID,-7.95,110.2833,86.18,68,43,10.02,scattered clouds
84,Solnechnyy,RU,50.7214,136.6319,48.09,65,79,5.88,broken clouds
85,Paita,PE,-5.0892,-81.1144,70.32,81,64,12.64,broken clouds
86,Redding,US,40.5865,-122.3917,60.8,41,1,3.44,clear sky
87,Georgetown,MY,5.4112,100.3354,89.6,66,20,6.91,few clouds
88,Cabedelo,BR,-6.9811,-34.8339,73.4,100,75,6.91,light rain
89,Luderitz,NA,-26.6481,15.1594,74.68,47,0,6.2,clear sky
90,Castro,BR,-24.7911,-50.0119,57.7,72,39,2.35,scattered clouds
91,Dingle,PH,10.9995,122.6711,88.05,57,81,11.05,broken clouds
92,Tateyama,JP,34.9833,139.8667,62.01,55,20,12.66,few clouds
93,Scarborough,GB,54.2797,-0.4044,36.0,91,33,16.64,scattered clouds
94,Saldanha,ZA,-33.0117,17.9442,57.2,88,96,10.78,overcast clouds
95,Jeremie,HT,18.65,-74.1167,75.29,83,63,0.49,broken clouds
96,Florin,US,38.496,-121.4088,57.2,54,1,5.75,clear sky
97,Khatanga,RU,71.9667,102.5,29.03,95,100,12.77,light snow
98,Grand Gaube,MU,-20.0064,57.6608,82.99,72,100,7.0,overcast clouds
99,Paamiut,GL,61.994,-49.6678,28.31,82,27,9.33,scattered clouds
100,Hithadhoo,MV,-0.6,73.0833,83.41,70,75,10.16,broken clouds
101,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,100,2.3,overcast clouds
102,Ternate,ID,0.8,127.4,84.99,67,100,7.47,moderate rain
103,Hammerfest,NO,70.6634,23.6821,32.0,100,90,14.97,light snow
104,Sawtell,AU,-30.3833,153.1,73.4,49,0,9.22,clear sky
105,Guerrero Negro,MX,27.9769,-114.0611,59.68,85,100,13.18,overcast clouds
106,Ulaangom,MN,49.9811,92.0667,41.16,31,1,8.72,clear sky
107,Ayagoz,KZ,47.9714,80.4392,49.53,35,12,18.95,few clouds
108,Coihaique,CL,-45.5752,-72.0662,44.91,97,100,6.08,overcast clouds
109,Xining,CN,36.6167,101.7667,49.46,47,93,4.0,overcast clouds
110,Ilhabela,BR,-23.7781,-45.3581,71.01,74,1,4.16,clear sky
111,Guadalajara,MX,20.6667,-103.3333,69.01,37,40,8.05,scattered clouds
112,Airai,TL,-8.9266,125.4092,71.98,62,75,1.59,broken clouds
113,Sao Pedro,BR,-22.5486,-47.9139,61.68,68,0,3.04,clear sky
114,Ciudad Bolivar,VE,8.1222,-63.5497,78.28,78,100,8.9,overcast clouds
115,Butaritari,KI,3.0707,172.7902,81.7,77,100,8.68,light rain
116,Asau,RO,46.4333,26.4,48.0,35,0,3.09,clear sky
117,Kapaa,US,22.0752,-159.319,71.6,68,1,11.5,clear sky
118,Grindavik,IS,63.8424,-22.4338,35.6,100,75,10.36,light rain
119,Kavaratti,IN,10.5669,72.642,83.68,63,85,1.7,overcast clouds
120,Bac Lieu,VN,9.285,105.7244,88.66,58,75,18.32,broken clouds
121,Cabra,ES,37.4725,-4.4421,57.2,88,90,4.61,overcast clouds
122,Chuy,UY,-33.6971,-53.4616,69.91,97,100,9.33,overcast clouds
123,Kaitangata,NZ,-46.2817,169.8464,55.0,95,99,4.7,overcast clouds
124,New Norfolk,AU,-42.7826,147.0587,48.99,72,96,7.0,overcast clouds
125,Phetchabun,TH,16.25,101.0833,93.99,52,40,0.76,scattered clouds
126,Namatanai,PG,-3.6667,152.4333,81.09,81,97,11.18,moderate rain
127,Jacmel,HT,18.2342,-72.5347,75.2,78,70,8.05,broken clouds
